Edad,Credito,Cumplio
37,300994,1
35,82236,1
29,133983,1
55,192272,0
18,76576,1
49,126123,1
27,346013,1
56,577008,0
23,578668,0
57,451812,1
39,151045,1
54,457833,1
35,171070,0
19,318552,0
39,188563,1
24,216864,1
49,444212,1
47,348159,0
43,505847,0
36,538420,1
26,391578,1
47,430175,0
60,577907,0
35,241190,1
22,179698,0
34,93784,1
23,266357,0
24,348533,1
18,149355,1
31,507358,0
47,460246,0
56,459666,1
26,344536,0
23,563462,1
24,414428,1
36,313208,1
46,454211,0
26,156167,1
51,500020,0
58,423570,0
41,582904,1
53,548792,1
37,385412,0
60,181060,1
30,289589,1
30,149602,0
45,277190,1
44,161674,0
34,116491,1
19,105148,1
50,394251,1
60,244529,1
27,58215,1
56,420928,0
33,282353,0
24,518391,0
41,230748,1
22,72360,1
41,397354,0
30,588453,0
43,355207,1
52,312689,0
54,301617,1
51,72004,0
58,556381,0
18,91613,0
29,583144,1
39,371776,1
56,503572,1
45,524013,0
19,106154,0
40,225144,1
22,474324,0
51,99118,1
31,237216,1
41,213406,1
45,361366,0
60,560399,0
48,521141,1
54,61709,0
32,70967,1
32,75734,0
33,229061,0
36,464879,1
60,442589,0
44,490354,1
51,120143,0
51,453197,1
51,95323,0
20,522498,1
56,89563,1
31,499841,1
56,353853,0
30,248928,1
18,163068,0
54,485563,1
43,150700,0
59,90888,0
31,60827,0
49,410022,0
19,323839,1
25,210120,1
57,462239,0
18,564378,1
36,80199,1
55,158503,1
44,131440,1
43,77558,0
34,110099,1
38,475811,0
38,145478,1
49,423500,0
22,68288,0
55,401744,1
37,573362,0
31,284585,1
55,286976,1
33,433236,0
29,202309,1
60,304818,0
30,474208,0
25,433246,1
20,499111,0
26,271862,1
21,500059,1
58,394681,1
53,330968,1
35,398912,0
19,434834,1
42,582197,0
56,389297,0
51,560369,1
53,331199,1
43,458202,0
52,217040,1
32,168632,0
34,348457,0
35,331882,0
39,427821,1
49,574551,1
36,354602,1
23,210311,1
36,587256,0
25,304960,1
32,410403,0
37,338302,1
57,209464,0
58,148436,1
30,547993,1
